date,open,high,low,close,volume
2017-02-27,27.3584,27.4485,27.2218,27.2583,23571756
2017-02-28,27.3038,27.3857,27.0124,27.1399,39111913
2017-03-01,27.2947,27.6315,27.149,27.4859,36882966
2017-03-02,27.5223,27.5223,27.3129,27.4859,27640415
2017-03-03,27.4859,27.5086,27.3584,27.4221,19994647
2017-03-06,27.3129,27.3857,27.2401,27.3129,23420603
2017-03-07,27.2492,27.2992,27.1217,27.1854,29982940
2017-03-08,27.2127,27.2583,27.0671,27.1308,32308399
2017-03-09,27.0853,27.1581,26.9123,27.0033,25940215
2017-03-10,27.1672,27.7044,26.976,27.5678,59211872
2017-03-13,27.5223,27.5496,27.1217,27.1854,30187808
2017-03-14,27.0944,27.1217,26.8304,26.8941,22801581
2017-03-15,26.9032,27.1581,26.8304,27.0944,25142833
2017-03-16,27.1308,27.149,26.9669,27.0853,21207002
2017-03-17,27.1763,27.3493,27.1035,27.2036,43638968
2017-03-20,27.2218,27.2401,27.0307,27.0762,18877431
2017-03-21,27.1854,27.1854,26.712,26.7575,26834807
2017-03-22,26.9123,27.0489,26.6847,26.885,26000688
2017-03-23,26.8577,27.0671,26.7484,26.9669,24674960
2017-03-24,26.9396,27.1399,26.885,27.058,27880234
2017-03-27,26.8122,26.8668,26.6301,26.803,28986703
2017-03-28,26.6847,27.0671,26.6301,26.9669,27847655
2017-03-29,26.8759,27.0489,26.8213,27.0215,27558771
2017-03-30,27.0033,27.3038,26.976,27.1945,35961302
2017-03-31,27.1854,27.3493,27.0762,27.1308,50796542
2017-04-03,27.0944,27.3129,27.0807,27.2036,29912275
2017-04-04,27.2218,27.3948,27.0398,27.3311,25057168
2017-04-05,27.3948,27.6953,27.2674,27.2856,25837471
2017-04-06,27.3129,27.4722,27.2401,27.2492,21549950
2017-04-07,27.2401,27.4859,27.2401,27.3038,18973172
2017-04-10,27.3766,27.5223,27.2765,27.322,18505150
2017-04-11,27.3129,27.4039,27.1672,27.3493,22040223
2017-04-12,27.2036,27.2218,26.9942,27.1035,27041348
2017-04-13,27.0398,27.1308,26.9032,26.9123,19998013
2017-04-17,26.9669,27.0398,26.9032,26.9851,21776555
2017-04-18,26.9487,27.2218,26.9305,27.1672,25706585
2017-04-19,27.2127,27.3675,27.1945,27.3129,26594394
2017-04-20,27.3584,27.8045,27.3402,27.5587,37081558
2017-04-21,27.5587,27.6589,26.8122,26.9032,72351353
2017-04-24,27.1763,27.2492,26.8486,26.9032,48585162
2017-04-25,26.8122,26.9487,26.6938,26.8122,39854055
2017-04-26,26.8759,26.9032,26.6392,26.6392,37368373
